"claim_id","claim_text","claim_type","status","evidence_required","evidence_path","allowed_context","prohibited_expansion","human_review"
"C001","PlateGauge studies leftover-fraction estimation for one food item under standardized before/after capture.","design","SUPPORTED","Approved charter and scope","docs/PROJECT_CHARTER.md; docs/SCOPE_AND_NON_GOALS.md","Repository and project description","Do not imply validated operational accuracy","Gate C approved 2026-09-20 within memo boundaries"
"C002","The local benchmark candidate uses bundled examples and a same-origin model without a PlateGauge upload API.","privacy_design","SUPPORTED_LOCAL_RC_TEST","Architecture plus current browser no-network tests","docs/PRIVACY_NOTICE.md; docs/TEST_REPORT.md","Describe the local candidate and exact tested path","Do not claim protection from hosting metadata compromised devices or future deployed behavior","Gate C approved 2026-09-20 within memo boundaries; deployment behavior remains Gate D"
"C003","LeFood-Set v1 is the sole v1 dataset and its provider displays CC BY 4.0.","data","SUPPORTED_SOURCE","Source record and release rights audit","docs/DATA_LICENSES.md; https://data.mendeley.com/datasets/cchsk79jkt/1","Dataset and methods documentation","Do not imply dataset-author endorsement","Not separately enumerated in Gate C approval; source fact still requires Gate D wording review"
"C004","The primary audited subset contains 514 valid pairs across 34 categories.","data","SUPPORTED_AUDIT","Frozen manifest and passing audit","data/manifests/lefood_v1_manifest.csv; data/manifests/lefood_v1_audit.json","Observed v1 audit fact","Do not imply population representativeness","Gate C approved 2026-09-20 within memo boundaries"
"C005","Ten matched pairs have after mass greater than before by 1 to 3 grams and are excluded from the primary set.","data","SUPPORTED_AUDIT","Source audit and exclusion ledger","data/manifests/lefood_v1_source_audit.csv; data/manifests/lefood_v1_audit.json","Observed v1 audit fact","Do not infer the cause","Not separately enumerated in Gate C approval; source fact still requires Gate D wording review"
"C006","The primary evaluation holds food categories out from model development and keeps duplicate components atomic.","method","SUPPORTED_COMPLETED","Frozen split audit and complete outer run","configs/frozen_folds.json; data/manifests/lefood_v1_audit.json; reports/results.json","Exact v1 protocol","Do not call it external field validation","Gate C approved 2026-09-20 within memo boundaries"
"C007","The paired MobileNet improves over after-only MobileNet.","result","REFUTED","Frozen comparison and category bootstrap","reports/results.json; reports/bootstrap_comparisons.json","May state that the hypothesis failed","Do not claim paired predictive value over after-only; paired was worse by 0.0248982870 macro MAE","Gate C approved 2026-09-20 as counterevidence; improvement claim remains prohibited"
"C008","The paired MobileNet beats handcrafted Ridge on macro-category MAE in the frozen category-disjoint protocol.","result","SUPPORTED_RESULT","Frozen outer predictions and category bootstrap","reports/results.json; reports/bootstrap_comparisons.json","LeFood-Set v1 and exact protocol only; paired 0.1227558739 versus Ridge 0.2515036088","No general superiority SOTA or operational claim","Gate C approved 2026-09-20 within memo boundaries"
"C009","The empirical interval has aggregate coverage 0.9319066148 and mean width 0.6672064521.","result","SUPPORTED_ANALYSIS_GATE_FAILED","Frozen coverage width and slice table","reports/results.json","Analysis and limitation discussion only","Do not display publicly as a useful guaranteed or conformal interval","Gate C approved 2026-09-20 as limitation only"
"C010","The width rule reduces retained-set macro error but is too selective to support a useful-abstention claim.","result","SUPPORTED_ANALYSIS_GATE_FAILED","Frozen risk/coverage and slice-retention evidence","reports/results.json","Explain failed gate: 0.252918 overall and 0.021277 minimum-slice retention","Do not claim safe reliable or useful abstention","Gate C approved 2026-09-20 as limitation only"
