rank,sample_id,tags,review_note,review_status
1,lefood-0530,BOUNDARY_TARGET_ZERO;OTHER_POSTHOC:POSSIBLE_IMAGE_MASS_TENSION,"Visible food remains in the after image although the recorded after mass and target are zero. Treat as a possible image-to-mass inconsistency, not a confirmed label error.",ai_visual_review_complete_applicant_pending
2,lefood-0320,OIL_OR_SAUCE_RESIDUE;OTHER_POSTHOC:POSSIBLE_IMAGE_MASS_TENSION,"The after image appears nearly empty while the recorded target is 0.854. The observer score is also 7, so the visual and observer evidence both conflict with the mass ratio.",ai_visual_review_complete_applicant_pending
3,lefood-0226,BOUNDARY_TARGET_ONE;OIL_OR_SAUCE_RESIDUE;PAIR_MISALIGNMENT,"The intact item is translated and rotated between images, with sauce distribution changing. The target of 1.0 is visually plausible, but the paired prediction is low.",ai_visual_review_complete_applicant_pending
4,lefood-0400,BOUNDARY_TARGET_ZERO;OTHER_POSTHOC:POSSIBLE_IMAGE_MASS_TENSION,"A whole item remains visible in the after image although the recorded target is zero. Do not adjudicate whether the image pairing, weighing, or interpretation is responsible.",ai_visual_review_complete_applicant_pending
5,lefood-0507,OIL_OR_SAUCE_RESIDUE;OTHER_POSTHOC:POSSIBLE_IMAGE_MASS_TENSION,"The after image appears almost empty while the mass ratio is 0.741 and the observer score is 7. This is a possible image-to-mass inconsistency and one of the narrow-interval failures.",ai_visual_review_complete_applicant_pending
6,lefood-0464,OTHER_POSTHOC:LARGE_OBJECT_SCALE_CHANGE,"The remaining piece is visibly much smaller than the initial piece, but the model predicts almost one. This is a clear relational scale-change failure.",ai_visual_review_complete_applicant_pending
7,lefood-0407,OIL_OR_SAUCE_RESIDUE;PAIR_MISALIGNMENT,"The same food is shifted and reoriented and the sauce pattern changes. The high recorded remaining fraction is visually plausible, but the model underestimates it.",ai_visual_review_complete_applicant_pending
8,lefood-0388,PAIR_MISALIGNMENT,"The food remains largely intact but changes position and orientation. The model underestimates the high remaining fraction.",ai_visual_review_complete_applicant_pending
9,lefood-0264,OIL_OR_SAUCE_RESIDUE;PAIR_MISALIGNMENT;OTHER_POSTHOC:STRUCTURAL_APPEARANCE_CHANGE,"The chicken piece changes orientation and exposed structure between images. The high mass ratio is plausible, while the model treats the appearance change as greater consumption.",ai_visual_review_complete_applicant_pending
10,lefood-0050,LOW_CONTRAST_RICE_OR_PORRIDGE;PAIR_MISALIGNMENT,"White rice on a white plate changes mound shape and position. The model strongly underestimates the recorded remaining fraction.",ai_visual_review_complete_applicant_pending
11,lefood-0039,LOW_CONTRAST_RICE_OR_PORRIDGE;PAIR_MISALIGNMENT,"White rice on a white plate changes mound size and position. The model overestimates the relatively small remaining fraction.",ai_visual_review_complete_applicant_pending
12,lefood-0416,BOUNDARY_TARGET_ONE;OIL_OR_SAUCE_RESIDUE;PAIR_MISALIGNMENT,"The intact item is shifted and rotated and surrounding residue changes. The target of 1.0 is plausible, but the model predicts less than half.",ai_visual_review_complete_applicant_pending
13,lefood-0391,OIL_OR_SAUCE_RESIDUE;PAIR_MISALIGNMENT,"The same item is translated and rotated with a different sauce pattern. The model underestimates the high remaining fraction.",ai_visual_review_complete_applicant_pending
14,lefood-0483,PAIR_MISALIGNMENT;OTHER_POSTHOC:LARGE_OBJECT_SCALE_CHANGE,"The remaining piece is smaller and reoriented, yet the model predicts almost one. This is a relational scale-change failure.",ai_visual_review_complete_applicant_pending
15,lefood-0472,PAIR_MISALIGNMENT;OTHER_POSTHOC:LARGE_OBJECT_SCALE_CHANGE,"The remaining piece is smaller and shifted, yet the model predicts almost one. This is a relational scale-change failure.",ai_visual_review_complete_applicant_pending
16,lefood-0501,BOUNDARY_TARGET_ONE;OIL_OR_SAUCE_RESIDUE;PAIR_MISALIGNMENT,"The intact item is shifted and the residue pattern changes. The target of 1.0 is plausible, but the model predicts under one-half.",ai_visual_review_complete_applicant_pending
17,lefood-0002,LOW_CONTRAST_RICE_OR_PORRIDGE;PAIR_MISALIGNMENT,"White rice on a white plate is redistributed between images. The model underestimates the high remaining fraction.",ai_visual_review_complete_applicant_pending
18,lefood-0157,GLARE_OR_SPECULARITY;LOW_CONTRAST_RICE_OR_PORRIDGE;PAIR_MISALIGNMENT,"Glossy pale porridge or rice has low contrast against the plate and changes shape. The model underestimates the remaining fraction.",ai_visual_review_complete_applicant_pending
19,lefood-0149,GLARE_OR_SPECULARITY;LOW_CONTRAST_RICE_OR_PORRIDGE;PAIR_MISALIGNMENT,"Glossy pale porridge or rice has low contrast and is redistributed. The model underestimates the remaining fraction.",ai_visual_review_complete_applicant_pending
20,lefood-0090,GLARE_OR_SPECULARITY;LOW_CONTRAST_RICE_OR_PORRIDGE;PAIR_MISALIGNMENT,"Glossy pale porridge or rice has low contrast and a changed mound shape. The model gives a narrow low estimate despite a recorded fraction of 0.568.",ai_visual_review_complete_applicant_pending
